,hosp,hosp,hosp,rea,rea,rea,rad,rad,rad,dc,dc,dc
sexe,0,1,2,0,1,2,0,1,2,0,1,2
jour,,,,,,,,,,,,
2020-03-18,2972,1685,1248,771,525,239,816,432,379,218,121,96
2020-03-19,4073,2256,1632,1002,689,284,1180,580,562,327,179,136
2020-03-20,5226,2912,2134,1297,905,362,1587,777,764,450,250,190
2020-03-21,5900,3298,2401,1453,1018,401,1811,881,888,525,297,219
2020-03-22,6954,3906,2815,1674,1176,461,2117,1031,1040,632,356,263
2020-03-23,8673,4882,3532,2080,1465,569,2567,1270,1247,860,497,350
2020-03-24,10163,5843,4149,2503,1773,694,3281,1609,1624,1100,661,425
2020-03-25,12072,7064,4856,2935,2127,785,4085,2000,2028,1388,818,557
2020-03-26,13879,8152,5570,3351,2437,888,4947,2424,2456,1696,1002,681
2020-03-27,15701,9288,6248,3758,2735,991,5698,2820,2806,1995,1175,809
2020-03-28,17580,10400,6995,4236,3105,1097,6624,3289,3251,2314,1374,927
2020-03-29,19311,11470,7643,4592,3397,1162,7131,3528,3516,2606,1561,1032
2020-03-30,20946,12457,8279,5056,3756,1268,7923,3940,3885,3024,1818,1191
2020-03-31,22672,13459,8984,5496,4069,1391,9443,4734,4599,3523,2143,1361
2020-04-01,24543,14568,9738,5940,4395,1506,10934,5539,5268,4032,2472,1537
2020-04-02,26131,15477,10391,6305,4646,1610,12427,6327,5961,4503,2767,1710
2020-04-03,27302,16104,10922,6556,4849,1651,14007,7177,6681,5091,3105,1954
2020-04-04,28003,16360,11353,6723,4952,1711,15437,8020,7257,5532,3370,2125
2020-04-05,28747,16715,11713,6859,5038,1757,16182,8425,7597,5889,3594,2256
2020-04-06,29569,17109,12135,6948,5108,1776,17249,9022,8064,6494,3949,2496
2020-04-07,29871,17189,12370,7004,5142,1797,19336,10157,8992,7091,4302,2734
2020-04-08,30217,17247,12657,7019,5139,1815,21253,11212,9841,7632,4624,2947
2020-04-09,30608,17301,12988,6937,5080,1794,23205,12276,10716,8044,4882,3099
2020-04-10,31108,17374,13429,6875,5014,1796,24931,13277,11428,8598,5208,3319
2020-04-11,31159,17263,13587,6752,4927,1758,26390,14111,12038,8943,5402,3469
2020-04-12,31665,17406,13938,6714,4902,1744,27185,14556,12376,9253,5588,3592
2020-04-13,31952,17487,14133,6690,4877,1747,27717,14885,12575,9588,5786,3725
2020-04-14,32131,17460,14351,6599,4791,1744,28804,15490,13046,10129,6092,3953
2020-04-15,31623,17079,14244,6331,4584,1682,30952,16639,14028,10643,6364,4194
2020-04-16,31172,16775,14098,6139,4452,1622,32806,17649,14868,11053,6585,4377
2020-04-17,31061,16603,14162,5922,4302,1557,34414,18514,15591,11470,6827,4546
2020-04-18,30515,16210,14016,5733,4174,1498,35977,19347,16305,11834,7028,4711
2020-04-19,30486,16160,14040,5644,4115,1470,36572,19656,16582,12061,7153,4811
2020-04-20,30462,16068,14095,5584,4060,1463,37403,20070,16992,12505,7407,4998
2020-04-21,29984,15647,14042,5334,3890,1388,39175,20992,17832,12892,7636,5154
2020-04-22,29627,15406,13930,5127,3739,1333,40651,21741,18546,13225,7825,5296
2020-04-23,29113,15043,13797,4967,3639,1282,42082,22475,19226,13536,8003,5423
2020-04-24,28554,14731,13559,4785,3504,1236,43486,23175,19917,13841,8179,5553
2020-04-25,28119,14430,13427,4641,3398,1199,44587,23767,20419,14039,8294,5637
2020-04-26,28114,14405,13443,4598,3369,1187,44896,23924,20566,14191,8386,5697
2020-04-27,27954,14315,13371,4526,3304,1182,45506,24248,20846,14486,8559,5819
2020-04-28,27607,14105,13239,4392,3208,1148,46322,24650,21256,14676,8677,5890
2020-04-29,26736,13691,12965,4128,3043,1072,48221,25717,22283,15041,8933,6062
2020-04-30,26192,13358,12761,3947,2909,1027,49469,26356,22885,15231,9034,6149
2020-05-01,25809,13111,12613,3819,2813,995,50204,26763,23212,15350,9105,6196
2020-05-02,25751,13063,12605,3770,2767,993,50554,26942,23380,15468,9177,6242
2020-05-03,25739,13056,12600,3762,2769,983,50776,27041,23500,15564,9232,6285
2020-05-04,25472,12924,12463,3639,2688,940,51363,27328,23798,15807,9358,6401
2020-05-05,24701,12566,12050,3375,2523,843,52728,27953,24535,16041,9471,6522
2020-05-06,23912,12163,11662,3095,2335,753,53963,28545,25169,16218,9582,6587
2020-05-07,23139,11716,11329,2911,2178,728,55018,29099,25667,16367,9671,6645
2020-05-08,22657,11464,11099,2820,2119,694,55773,29452,26063,16478,9755,6671
2020-05-09,22547,11382,11072,2764,2071,686,56029,29587,26183,16554,9807,6695
2020-05-10,22502,11333,11071,2728,2043,679,56208,29688,26290,16623,9844,6725
2020-05-11,22219,11205,10919,2666,1999,662,56715,29926,26551,16801,9937,6810
2020-05-12,21530,10860,10581,2496,1847,645,57776,30442,27090,16984,10041,6886
2020-05-13,21009,10640,10285,2385,1773,607,58664,30858,27556,17082,10093,6932
2020-05-14,20401,10325,9997,2256,1689,563,59596,31324,28014,17205,10160,6988
2020-05-15,19801,10033,9688,2162,1612,547,60439,31726,28454,17323,10221,7046
2020-05-16,19372,9811,9483,2091,1557,531,61057,32026,28769,17393,10263,7074
2020-05-17,19302,9778,9447,2047,1521,523,61204,32102,28840,17447,10295,7096
2020-05-18,18956,9581,9296,1958,1454,501,61719,32368,29087,17570,10370,7143
2020-05-19,18409,9308,9023,1854,1383,469,62554,32756,29532,17695,10439,7198
2020-05-20,17882,9051,8760,1754,1312,439,63345,33138,29938,17793,10485,7247
2020-05-21,17527,8882,8576,1708,1284,421,63849,33372,30205,17851,10516,7273
2020-05-22,17327,8760,8499,1664,1246,415,64200,33561,30365,17925,10565,7299
2020-05-23,17122,8653,8400,1628,1217,408,64538,33737,30526,17968,10590,7316
2020-05-24,17129,8647,8414,1618,1207,408,64608,33779,30554,18003,10613,7327
2020-05-25,16742,8455,8217,1572,1165,403,65190,34041,30870,18093,10676,7354
2020-05-26,16209,8182,7956,1519,1127,387,65870,34364,31223,18175,10720,7392
2020-05-27,15627,7898,7661,1467,1092,370,66575,34695,31596,18240,10753,7423
2020-05-28,15155,7668,7422,1395,1041,349,67182,34970,31923,18306,10795,7446
2020-05-29,14643,7418,7162,1328,989,335,67794,35258,32243,18367,10829,7472
2020-05-30,14329,7256,7009,1293,955,333,68259,35489,32475,18424,10861,7497
2020-05-31,14271,7220,6986,1287,955,327,68346,35542,32509,18455,10880,7509
2020-06-01,14237,7196,6976,1270,939,326,68431,35593,32543,18486,10897,7523
2020-06-02,13978,7047,6865,1221,902,315,68803,35800,32706,18570,10938,7566
2020-06-03,13465,6825,6571,1179,868,307,69446,36079,33070,18651,10978,7607
2020-06-04,13054,6611,6374,1133,832,298,69967,36350,33315,18695,11001,7628
2020-06-05,12650,6397,6174,1065,781,279,70494,36619,33573,18741,11027,7647
2020-06-06,12433,6287,6068,1030,762,264,70796,36773,33720,18772,11038,7667
2020-06-07,12415,6280,6058,1024,758,262,70832,36787,33742,18785,11046,7672
2020-06-08,12269,6202,5990,995,735,256,71052,36890,33857,18839,11080,7692
2020-06-09,11915,6018,5821,926,683,239,71496,37110,34077,18892,11110,7715
2020-06-10,11632,5889,5667,904,656,244,71822,37258,34252,18915,11120,7728
2020-06-11,11420,5785,5559,875,632,239,72139,37413,34411,18942,11132,7744
2020-06-12,11079,5614,5390,851,611,235,72562,37617,34629,18970,11147,7757
2020-06-13,10864,5506,5283,843,604,234,72798,37733,34748,18994,11161,7767
2020-06-14,10836,5491,5269,841,600,236,72849,37759,34773,19003,11165,7772
2020-06-15,10707,5425,5206,818,584,229,73034,37838,34879,19032,11185,7781
2020-06-16,10490,5318,5095,792,567,221,73325,37972,35036,19070,11209,7794
2020-06-17,10222,5179,4971,744,536,204,73657,38137,35197,19098,11227,7804
2020-06-18,10080,5102,4907,724,521,199,73877,38238,35315,19126,11245,7814
2020-06-19,9925,5037,4821,699,507,188,74107,38339,35440,19140,11251,7820
2020-06-20,9792,4961,4766,687,500,183,74302,38443,35532,19156,11263,7824
2020-06-21,9778,4951,4761,687,500,184,74362,38474,35561,19163,11265,7829
2020-06-22,9648,4896,4684,673,494,176,74602,38589,35686,19186,11277,7840
2020-06-23,9446,4792,4589,654,480,171,74861,38713,35818,19212,11293,7849
2020-06-24,9254,4690,4501,630,460,167,75117,38839,35946,19223,11300,7855
2020-06-25,9096,4621,4411,623,455,165,75341,38949,36057,19244,11310,7866
2020-06-26,8841,4505,4271,606,447,156,75639,39079,36224,19270,11325,7877
2020-06-27,8715,4435,4218,594,438,153,75803,39156,36309,19285,11334,7883
2020-06-28,8727,4441,4224,594,439,152,75833,39172,36323,19287,11335,7884
2020-06-29,8643,4396,4186,591,428,159,75989,39256,36393,19305,11344,7893
2020-06-30,8491,4304,4123,574,415,154,76264,39403,36521,19326,11355,7903
2020-07-01,8291,4191,4038,554,401,149,76539,39558,36639,19344,11363,7913
2020-07-02,8103,4087,3956,545,393,148,76792,39690,36759,19358,11371,7919
2020-07-03,7946,4010,3874,533,385,143,77049,39811,36896,19376,11380,7928
2020-07-04,7863,3970,3833,517,372,140,77160,39861,36955,19388,11387,7933
2020-07-05,7863,3970,3832,521,374,141,77179,39873,36962,19390,11388,7934
2020-07-06,7806,3941,3805,521,370,144,77308,39933,37029,19403,11392,7943
2020-07-07,7550,3804,3688,511,361,142,77644,40108,37187,19437,11406,7963
2020-07-08,7254,3670,3528,503,361,135,77985,40265,37370,19469,11422,7977
2020-07-09,7134,3625,3456,486,354,126,78159,40344,37464,19483,11431,7982
2020-07-10,7020,3565,3402,471,339,126,78377,40454,37571,19508,11443,7995
2020-07-11,6995,3548,3394,470,336,127,78454,40494,37607,19514,11446,7998
2020-07-12,6991,3541,3397,473,335,131,78486,40510,37623,19515,11446,7999
2020-07-13,6941,3521,3368,467,329,131,78586,40556,37676,19533,11458,8005
2020-07-14,6907,3504,3354,465,327,131,78670,40596,37716,19539,11461,8008
2020-07-15,6873,3480,3341,457,324,126,78809,40670,37781,19559,11472,8017
2020-07-16,6754,3421,3283,456,325,124,79025,40766,37897,19577,11481,8025
2020-07-17,6646,3375,3220,452,324,122,79233,40861,38009,19591,11488,8032
2020-07-18,6614,3367,3198,450,325,119,79322,40898,38060,19599,11492,8036
2020-07-19,6583,3345,3190,448,326,116,79384,40933,38086,19600,11493,8036
2020-07-20,6547,3331,3171,442,318,118,79530,41004,38158,19616,11504,8041
2020-07-21,6440,3273,3123,430,310,115,79723,41108,38246,19629,11513,8045
2020-07-22,6324,3198,3083,420,306,110,79946,41236,38340,19636,11515,8050
2020-07-23,5915,3021,2853,411,294,113,80461,41456,38630,19646,11523,8052
2020-07-24,5678,2906,2733,385,277,103,80804,41625,38802,19656,11530,8055
2020-07-25,5634,2871,2724,368,269,94,80915,41689,38849,19664,11536,8057
2020-07-26,5640,2870,2731,367,268,94,80947,41700,38870,19665,11537,8057
2020-07-27,5614,2859,2717,374,277,93,81071,41763,38930,19673,11542,8060
2020-07-28,5510,2813,2661,361,267,90,81300,41869,39051,19688,11552,8065
2020-07-29,5409,2769,2606,356,265,87,81489,41962,39147,19703,11557,8075
2020-07-30,5334,2729,2573,357,265,88,81656,42043,39231,19719,11566,8082
2020-07-31,5257,2693,2530,347,254,89,81870,42138,39350,19730,11573,8086
2020-08-01,5177,2655,2488,344,250,90,82016,42205,39429,19736,11576,8088
2020-08-02,5188,2657,2497,345,251,90,82029,42215,39432,19737,11576,8089
2020-08-03,5157,2645,2474,360,259,97,82155,42277,39496,19759,11591,8097
2020-08-04,5121,2637,2443,364,256,104,82307,42343,39581,19770,11597,8102
2020-08-05,5107,2634,2432,360,254,102,82449,42415,39651,19779,11600,8108
2020-08-06,5019,2583,2400,366,254,107,82659,42529,39744,19786,11603,8112
2020-08-07,4970,2573,2363,359,259,95,82825,42603,39835,19798,11612,8115
2020-08-08,4981,2575,2371,366,262,99,82881,42636,39857,19800,11614,8115
2020-08-09,4992,2579,2377,368,262,101,82886,42640,39858,19800,11614,8115
2020-08-10,5004,2579,2387,372,259,107,83036,42719,39928,19814,11623,8120
2020-08-11,4971,2566,2370,367,255,107,83226,42813,40022,19829,11632,8125
2020-08-12,4850,2533,2282,355,244,106,83461,42918,40152,19846,11639,8135
2020-08-13,4824,2502,2284,351,241,106,83651,43021,40236,19863,11648,8143
2020-08-14,4788,2472,2280,344,236,105,83836,43118,40325,19881,11659,8150
2020-08-15,4817,2494,2287,353,242,107,83880,43132,40355,19884,11660,8152
2020-08-16,4820,2497,2287,353,241,108,83909,43144,40372,19885,11660,8153
2020-08-17,4885,2522,2322,361,247,110,84053,43221,40439,19904,11670,8162
2020-08-18,4783,2477,2264,357,247,104,84297,43338,40565,19920,11679,8168
2020-08-19,4781,2456,2285,362,248,108,84440,43423,40620,19937,11688,8175
2020-08-20,4723,2455,2228,368,256,106,84615,43498,40718,19949,11692,8183
2020-08-21,4720,2463,2216,367,251,110,84802,43583,40818,19972,11706,8192
2020-08-22,4685,2448,2192,368,249,113,84923,43639,40884,19980,11710,8196
2020-08-23,4683,2453,2185,371,251,114,84946,43646,40900,19981,11711,8196
2020-08-24,4664,2460,2162,387,266,117,85172,43753,41019,19996,11721,8201
2020-08-25,4578,2423,2113,401,272,124,85494,43923,41167,20016,11734,8208
2020-08-26,4535,2394,2097,373,259,112,85731,44046,41278,20034,11747,8212
2020-08-27,4517,2388,2089,375,258,115,85954,44153,41390,20046,11758,8213
2020-08-28,4517,2378,2097,381,260,119,86147,44264,41473,20065,11768,8222
2020-08-29,4512,2388,2084,394,265,127,86268,44318,41539,20071,11772,8224
2020-08-30,4517,2385,2092,396,265,129,86280,44330,41539,20075,11775,8225
2020-08-31,4564,2401,2124,403,269,131,86439,44415,41611,20104,11795,8233
2020-09-01,4586,2413,2134,418,277,138,86682,44546,41719,20123,11809,8238
2020-09-02,4614,2439,2133,440,298,138,86933,44670,41843,20148,11819,8253
2020-09-03,4625,2446,2142,458,316,140,87176,44803,41952,20168,11831,8261
2020-09-04,4653,2446,2173,467,321,143,87417,44933,42060,20186,11843,8266
2020-09-05,4667,2452,2179,476,326,147,87549,44998,42126,20198,11850,8271
2020-09-06,4697,2471,2188,480,329,148,87578,45014,42138,20201,11852,8272
2020-09-07,4889,2571,2279,531,363,165,87806,45142,42235,20226,11866,8283
2020-09-08,4942,2609,2287,568,390,175,88196,45345,42420,20265,11887,8300
2020-09-09,4985,2635,2306,593,409,180,88494,45508,42554,20295,11901,8316
2020-09-10,5077,2680,2350,608,420,183,88712,45629,42651,20314,11912,8324
2020-09-11,5136,2737,2350,628,435,188,89029,45779,42816,20354,11933,8343
2020-09-12,5176,2748,2376,655,448,201,89201,45876,42891,20371,11943,8349
2020-09-13,5228,2778,2396,662,457,199,89240,45900,42906,20377,11946,8352
2020-09-14,5479,2926,2503,705,481,218,89477,46026,43011,20411,11962,8369
2020-09-15,5660,3015,2590,752,504,242,89861,46220,43201,20447,11984,8382
2020-09-16,5800,3096,2650,796,542,248,90305,46456,43406,20493,12013,8399
2020-09-17,5825,3116,2655,793,555,232,90810,46722,43642,20543,12049,8413
2020-09-18,5800,3127,2622,820,581,235,91544,47048,44039,20665,12098,8486
2020-09-19,5493,2999,2444,827,588,235,92289,47392,44436,20690,12111,8498
2020-09-20,5356,2936,2360,834,595,234,92552,47514,44576,20701,12118,8502
2020-09-21,5597,3079,2462,912,645,261,92978,47734,44776,20754,12148,8525
2020-09-22,5777,3194,2521,944,654,283,93508,48011,45023,20821,12186,8553
2020-09-23,5913,3289,2561,995,681,306,93952,48246,45225,20864,12214,8568
2020-09-24,6012,3329,2622,1041,714,318,94383,48481,45420,20916,12242,8591
2020-09-25,6110,3351,2695,1092,747,335,94860,48771,45601,20971,12276,8612
2020-09-26,6154,3398,2694,1105,767,328,95272,48988,45791,21010,12300,8627
2020-09-27,6235,3444,2730,1112,774,327,95395,49057,45843,21037,12317,8637
2020-09-28,6397,3512,2816,1158,801,344,95743,49241,46007,21118,12366,8669
2020-09-29,6482,3576,2832,1198,835,349,96296,49539,46259,21177,12400,8692
2020-09-30,6572,3586,2904,1232,863,356,96766,49824,46441,21240,12434,8721
2020-10-01,6634,3639,2909,1259,877,369,97240,50065,46671,21303,12471,8748
2020-10-02,6740,3694,2959,1270,896,362,97747,50339,46904,21350,12496,8768
2020-10-03,6740,3690,2952,1289,907,368,98199,50559,47128,21393,12522,8786
2020-10-04,6964,3817,3048,1335,936,385,98343,50638,47193,21425,12536,8803
2020-10-05,7276,3975,3195,1409,991,401,98649,50812,47320,21494,12578,8829
2020-10-06,7377,4055,3229,1417,1001,400,99264,51124,47614,21556,12612,8856
2020-10-07,7514,4148,3274,1406,1004,388,99762,51398,47835,21636,12662,8886
2020-10-08,7603,4195,3321,1418,1012,391,100275,51647,48093,21712,12708,8916
2020-10-09,7843,4287,3473,1439,1030,393,100797,51927,48326,21774,12749,8937
2020-10-10,7976,4361,3527,1456,1041,398,101280,52166,48566,21828,12785,8955
2020-10-11,8231,4488,3640,1483,1057,409,101460,52261,48651,21874,12812,8974
2020-10-12,8671,4698,3864,1539,1097,427,101868,52470,48849,21969,12866,9015
2020-10-13,8928,4866,3952,1633,1165,452,102649,52871,49222,22053,12920,9045
2020-10-14,9173,4961,4094,1664,1195,452,103382,53267,49553,22157,12991,9077
2020-10-15,9584,5167,4303,1741,1257,470,104051,53614,49868,22245,13045,9109
2020-10-16,10021,5402,4509,1791,1286,493,104665,53916,50173,22367,13116,9159
2020-10-17,10399,5591,4696,1868,1341,513,105163,54187,50396,22456,13165,9198
2020-10-18,10897,5886,4892,1939,1386,535,105400,54300,50518,22541,13216,9232
2020-10-19,11640,6252,5274,2090,1489,585,105904,54580,50733,22687,13306,9288
2020-10-20,12435,6655,5657,2168,1535,615,106808,55056,51154,22849,13406,9348
2020-10-21,13162,7039,5986,2239,1585,635,107621,55492,51527,23012,13502,9414
2020-10-22,14009,7438,6420,2310,1638,652,108568,56005,51955,23174,13597,9478
2020-10-23,14985,7923,6903,2432,1724,691,109455,56478,52361,23358,13699,9559
2020-10-24,15637,8207,7264,2491,1765,711,110291,56927,52739,23495,13780,9614
2020-10-25,16454,8644,7626,2575,1831,726,110629,57121,52883,23611,13853,9657
2020-10-26,17761,9353,8213,2761,1957,785,111316,57463,53223,23868,14004,9760
2020-10-27,18955,10010,8728,2909,2056,829,112685,58168,53872,24156,14167,9884
2020-10-28,20184,10684,9282,3036,2167,842,113946,58826,54464,24400,14293,9998
2020-10-29,21160,11190,9745,3147,2253,866,115256,59506,55082,24635,14441,10082
2020-10-30,22153,11684,10231,3368,2412,922,116502,60138,55683,24890,14579,10196
2020-10-31,23013,12143,10622,3443,2479,928,117563,60704,56170,25113,14721,10276
2020-11-01,24008,12677,11038,3569,2560,969,118196,61050,56453,25344,14863,10365
2020-11-02,25120,13271,11544,3721,2656,1027,119073,61535,56839,25760,15105,10536
2020-11-03,26242,13872,12074,3869,2781,1050,120683,62362,57612,26186,15365,10696
2020-11-04,27511,14512,12703,4080,2941,1100,122631,63396,58507,26571,15583,10857
2020-11-05,28403,15004,13099,4221,3061,1120,124247,64217,59290,26934,15797,11005
2020-11-06,28955,15282,13380,4321,3140,1137,126298,65258,60291,27332,16036,11160
2020-11-07,29396,15482,13608,4410,3195,1172,127907,66087,61057,27636,16217,11279
2020-11-08,30217,15926,13967,4527,3266,1217,128583,66441,61372,27906,16384,11381
2020-11-09,31098,16443,14328,4677,3399,1236,129704,67030,61893,28454,16693,11612
2020-11-10,31477,16651,14496,4736,3449,1250,131889,68118,62966,28920,16964,11803
2020-11-11,31918,16843,14741,4789,3472,1279,133665,69081,63763,29248,17160,11934
2020-11-12,32654,17221,15112,4884,3547,1301,134923,69882,64484,29673,17411,12143
2020-11-13,32676,17209,15152,4887,3539,1316,137124,71022,65522,30129,17674,12334
2020-11-14,32468,16941,15209,4855,3495,1325,139110,72084,66431,30483,17897,12460
2020-11-15,33050,17184,15525,4880,3520,1324,139779,72449,66731,30785,18091,12568
2020-11-16,33466,17350,15789,4903,3543,1324,140849,73004,67234,31291,18374,12790
2020-11-17,33139,17035,15790,4838,3482,1319,143121,74251,68233,31719,18626,12965
2020-11-18,32811,16798,15676,4759,3411,1307,145360,75419,69291,32144,18863,13151
2020-11-19,32314,16513,15460,4637,3314,1287,147538,76547,70326,32573,19092,13350
2020-11-20,31875,16275,15266,4566,3271,1258,149490,77492,71311,32954,19328,13492
2020-11-21,31365,15948,15083,4493,3230,1229,151146,78382,72070,33207,19475,13598
2020-11-22,31522,15973,15209,4491,3217,1240,151650,78641,72311,33421,19614,13673
2020-11-23,31449,15897,15213,4438,3184,1224,152561,79072,72780,33921,19907,13875
2020-11-24,30594,15473,14804,4277,3086,1163,154648,80131,73783,34374,20175,14056
2020-11-25,29944,15137,14495,4136,2991,1121,156521,81018,74742,34755,20393,14216
2020-11-26,29282,14798,14171,4006,2910,1070,158205,81831,75599,35094,20575,14370
2020-11-27,28620,14398,13924,3871,2813,1034,159884,82651,76432,35487,20809,14527
2020-11-28,28139,14089,13755,3765,2735,1007,161106,83260,77035,35700,20938,14610
2020-11-29,28284,14119,13873,3744,2725,998,161396,83431,77150,35898,21057,14686
2020-11-30,28229,14049,13885,3739,2733,985,162250,83859,77563,36304,21290,14855
2020-12-01,27611,13709,13602,3594,2633,940,163998,84692,78461,36667,21512,14997
2020-12-02,26986,13376,13311,3478,2535,922,165532,85410,79265,36976,21706,15109
2020-12-03,26675,13178,13196,3415,2481,914,166909,86064,79979,37300,21884,15252
2020-12-04,26283,12965,13007,3283,2387,872,168321,86724,80722,37582,22048,15367
2020-12-05,26040,12832,12900,3220,2345,850,169327,87187,81255,37796,22174,15453
2020-12-06,26262,12911,13033,3210,2338,849,169555,87314,81356,37970,22280,15519
2020-12-07,26333,12891,13121,3188,2310,854,170254,87657,81707,38336,22493,15670
2020-12-08,25882,12641,12936,3078,2235,816,171837,88393,82528,38713,22697,15838
2020-12-09,25526,12517,12726,3031,2200,805,173216,88996,83287,39009,22854,15973
2020-12-10,25199,12339,12585,2949,2121,803,174627,89618,84062,39301,23028,16089
2020-12-11,24943,12205,12453,2874,2064,784,175860,90185,84717,39605,23208,16211
2020-12-12,24948,12157,12512,2851,2048,778,176712,90609,85133,39799,23322,16290
2020-12-13,25207,12268,12647,2861,2035,799,176964,90723,85269,39949,23408,16353
2020-12-14,25449,12364,12798,2896,2059,811,177616,91060,85579,40320,23603,16523
2020-12-15,25207,12263,12651,2871,2041,803,179056,91728,86338,40627,23768,16663
2020-12-16,25282,12298,12697,2840,2015,797,180280,92282,86992,40916,23929,16787
2020-12-17,25149,12207,12658,2798,2001,772,181475,92846,87608,41174,24071,16901
2020-12-18,24945,12055,12614,2764,1964,777,182634,93434,88168,41429,24220,17006
2020-12-19,24819,12007,12528,2718,1927,767,183540,93848,88652,41618,24327,17086
2020-12-20,24961,12108,12573,2745,1946,775,183775,93958,88773,41749,24404,17135
2020-12-21,25201,12211,12714,2737,1932,783,184433,94255,89129,42100,24600,17285
2020-12-22,24932,12060,12597,2719,1912,783,186027,94989,89972,42481,24816,17447
2020-12-23,24852,11967,12615,2701,1897,780,187241,95564,90597,42757,24955,17583
2020-12-24,24607,11807,12525,2643,1856,764,188608,96184,91330,43047,25117,17710
2020-12-25,24359,11671,12403,2616,1834,748,189414,96578,91730,43206,25208,17776
2020-12-26,24444,11733,12426,2640,1853,752,189687,96722,91857,43352,25277,17852
2020-12-27,24620,11821,12514,2650,1870,744,189910,96842,91958,43525,25381,17916
2020-12-28,24645,11812,12550,2694,1898,760,190691,97207,92364,43888,25584,18075
2020-12-29,24743,11865,12600,2666,1882,749,191775,97702,92936,44272,25803,18237
2020-12-30,24560,11815,12467,2652,1856,762,193014,98241,93630,44575,25973,18368
2020-12-31,24407,11703,12432,2625,1843,752,194190,98802,94228,44826,26118,18469
